FHCR3030 Equity,
Date,PX_LAST
3/31/1983,12.68
4/29/1983,12.43
5/31/1983,12.8
6/30/1983,13.28
7/29/1983,13.73
8/31/1983,13.85
9/30/1983,13.3
10/31/1983,13.15
11/30/1983,13.13
12/30/1983,13.18
1/31/1984,12.92
2/29/1984,13.1
3/30/1984,13.62
4/30/1984,13.88
5/31/1984,15
6/29/1984,14.77
7/31/1984,14.29
8/31/1984,14.18
9/28/1984,13.8
10/31/1984,13.21
11/30/1984,12.84
12/31/1984,12.97
1/31/1985,12.59
2/28/1985,13.48
3/29/1985,13.07
4/30/1985,12.77
5/31/1985,11.92
6/28/1985,11.8
7/31/1985,12.17
8/30/1985,11.84
9/30/1985,11.91
10/31/1985,11.61
11/29/1985,11.06
12/31/1985,10.35
1/31/1986,10.56
2/28/1986,9.76
3/31/1986,9.61
4/30/1986,9.5
5/30/1986,10.37
6/30/1986,10.27
7/31/1986,10.06
8/29/1986,9.47
9/30/1986,9.87
10/31/1986,9.6
11/28/1986,9.27
12/31/1986,9.46
1/30/1987,8.93
2/27/1987,8.8
3/31/1987,9.14
4/30/1987,10.18
5/29/1987,10.43
6/30/1987,10.18
7/31/1987,10.1
8/31/1987,10.44
9/30/1987,11.15
10/30/1987,10.61
11/30/1987,10.44
12/31/1987,10.35
1/29/1988,9.74
2/29/1988,9.68
3/31/1988,10.01
4/29/1988,10.15
5/31/1988,10.51
6/30/1988,10.17
7/29/1988,10.38
8/31/1988,10.46
9/30/1988,10.14
10/31/1988,9.85
11/30/1988,10.38
12/30/1988,10.73
1/31/1989,10.51
2/28/1989,10.91
3/31/1989,11.13
4/28/1989,10.9
5/31/1989,10.42
6/30/1989,9.99
7/31/1989,9.61
8/31/1989,10.18
9/29/1989,10.16
10/31/1989,9.82
11/30/1989,9.75
12/29/1989,9.87
1/31/1990,10.17
2/28/1990,10.21
3/30/1990,10.3
4/30/1990,10.69
5/31/1990,10.19
6/29/1990,10.01
7/31/1990,9.72
8/31/1990,10.18
9/28/1990,10.11
10/31/1990,10.11
11/30/1990,9.82
12/31/1990,9.64
1/31/1991,9.48
2/28/1991,9.44
3/29/1991,9.54
4/30/1991,9.42
5/31/1991,9.38
6/28/1991,9.55
7/31/1991,9.34
8/30/1991,9.13
9/30/1991,8.77
10/31/1991,8.57
11/29/1991,8.63
12/31/1991,7.97
1/31/1992,8.58
2/28/1992,8.51
3/31/1992,8.8
4/30/1992,8.67
5/29/1992,8.37
6/30/1992,8.22
7/31/1992,7.87
8/31/1992,7.7
9/30/1992,7.59
10/30/1992,8.13
11/30/1992,8.21
12/31/1992,7.95
1/29/1993,7.52
2/26/1993,7.28
3/31/1993,7.25
4/30/1993,7.31
5/31/1993,7.39
6/30/1993,7
7/30/1993,6.99
8/31/1993,6.67
9/30/1993,6.66
10/29/1993,6.71
11/30/1993,7.16
12/31/1993,7.13
1/31/1994,6.8
2/28/1994,7.35
3/31/1994,8.15
4/29/1994,8.44
5/31/1994,8.54
6/30/1994,8.7
7/29/1994,8.41
8/31/1994,8.49
9/30/1994,8.9
10/31/1994,9.07
11/30/1994,9.31
12/30/1994,9.29
1/31/1995,9.03
2/28/1995,8.66
3/31/1995,8.64
4/28/1995,8.46
5/31/1995,7.79
6/30/1995,7.81
7/31/1995,7.93
8/31/1995,7.79
9/29/1995,7.72
10/31/1995,7.6
11/30/1995,7.35
12/29/1995,7.27
1/31/1996,7.06
2/29/1996,7.63
3/29/1996,8
4/30/1996,8.19
5/31/1996,8.39
6/28/1996,8.18
7/31/1996,8.25
8/30/1996,8.43
9/30/1996,8.17
10/31/1996,7.84
11/29/1996,7.62
12/31/1996,7.93
1/31/1997,7.94
2/28/1997,7.97
3/31/1997,8.29
4/30/1997,8.11
5/30/1997,8.04
6/30/1997,7.81
7/31/1997,7.47
8/29/1997,7.56
9/30/1997,7.46
10/31/1997,7.34
11/28/1997,7.32
12/31/1997,7.16
1/30/1998,7.01
2/27/1998,7.07
3/31/1998,7.05
4/30/1998,7.09
5/29/1998,7.03
6/30/1998,7.01
7/31/1998,7.01
8/31/1998,6.78
9/30/1998,6.5
10/30/1998,6.6
11/30/1998,6.66
12/31/1998,6.68
1/29/1999,6.64
2/26/1999,7.1
3/31/1999,7.05
4/30/1999,6.98
5/31/1999,7.41
6/30/1999,7.6
7/30/1999,7.9
8/31/1999,8.07
9/30/1999,7.85
10/29/1999,7.89
11/30/1999,7.96
12/31/1999,8.12
1/31/2000,8.48
2/29/2000,8.3
3/31/2000,8.2
4/28/2000,8.27
5/31/2000,8.44
6/30/2000,8.09
7/31/2000,8.11
8/31/2000,7.96
9/29/2000,7.8
10/31/2000,7.78
11/30/2000,7.52
12/29/2000,7.17
1/31/2001,6.91
2/28/2001,6.86
3/30/2001,6.88
4/30/2001,7.06
5/31/2001,6.95
6/29/2001,7.15
7/31/2001,6.76
8/31/2001,6.64
9/28/2001,6.37
10/31/2001,5.91
11/30/2001,6.51
12/31/2001,6.81
1/31/2002,6.64
2/28/2002,6.46
3/29/2002,6.91
4/30/2002,6.53
5/31/2002,6.48
6/28/2002,6.31
7/31/2002,6.08
8/30/2002,5.81
9/30/2002,5.56
10/31/2002,5.6
11/29/2002,5.74
12/31/2002,5.42
1/31/2003,5.5
2/28/2003,5.24
3/31/2003,5.31
4/30/2003,5.18
5/30/2003,4.69
6/30/2003,4.95
7/31/2003,6.03
8/29/2003,5.92
9/30/2003,5.34
10/31/2003,5.59
11/28/2003,5.73
12/31/2003,5.59
1/30/2004,5.45
2/27/2004,5.26
3/31/2004,5.2
4/30/2004,5.84
5/31/2004,6.06
6/30/2004,5.86
7/30/2004,5.72
8/31/2004,5.45
9/30/2004,5.51
10/29/2004,5.36
11/30/2004,5.54
12/31/2004,5.43
1/31/2005,5.33
2/28/2005,5.58
3/31/2005,5.73
4/29/2005,5.52
5/31/2005,5.35
6/30/2005,5.32
7/29/2005,5.65
8/31/2005,5.49
9/30/2005,5.77
10/31/2005,6.06
11/30/2005,6.11
12/30/2005,6.02
1/31/2006,6.03
2/28/2006,6.03
3/31/2006,6.26
4/28/2006,6.36
5/31/2006,6.53
6/30/2006,6.6
7/31/2006,6.43
8/31/2006,6.2
9/29/2006,6.08
10/31/2006,6.01
11/30/2006,5.89
12/29/2006,6.07
1/31/2007,6.13
2/28/2007,5.99
3/30/2007,6.04
4/30/2007,6.04
5/31/2007,6.28
6/29/2007,6.52
7/31/2007,6.47
8/31/2007,6.28
9/28/2007,6.22
10/31/2007,6.08
11/30/2007,5.72
12/31/2007,5.82
1/31/2008,5.46
2/29/2008,5.63
3/31/2008,5.57
4/30/2008,5.63
5/30/2008,5.97
6/30/2008,6.07
7/31/2008,6.18
8/29/2008,6.14
9/30/2008,6.05
10/31/2008,6.37
11/28/2008,4.97
12/31/2008,4.54
1/30/2009,4.67
2/27/2009,4.88
