FNCR3030 Equity,
Date,PX_LAST
1/30/1987,8.66
2/27/1987,8.64
3/31/1987,9
4/30/1987,9.92
5/29/1987,10.2
6/30/1987,9.85
7/31/1987,9.92
8/31/1987,10.25
9/30/1987,10.95
10/30/1987,10.6
11/30/1987,10.45
12/31/1987,10.28
1/29/1988,9.7
2/29/1988,9.57
3/31/1988,9.91
4/29/1988,10.17
5/31/1988,10.48
6/30/1988,10.11
7/29/1988,10.35
8/31/1988,10.47
9/30/1988,10.15
10/31/1988,9.88
11/30/1988,10.33
12/30/1988,10.75
1/31/1989,10.48
2/28/1989,10.85
3/31/1989,11.08
4/28/1989,10.82
5/31/1989,10.35
6/30/1989,9.88
7/31/1989,9.54
8/31/1989,10.13
9/29/1989,10.19
10/31/1989,9.8
11/30/1989,9.69
12/29/1989,9.79
1/31/1990,10.12
2/28/1990,10.08
3/30/1990,10.23
4/30/1990,10.6
5/31/1990,10.12
6/29/1990,9.95
7/31/1990,9.72
8/31/1990,10.08
9/28/1990,10.07
10/31/1990,10.08
11/30/1990,9.78
12/31/1990,9.64
1/31/1991,9.42
2/28/1991,9.37
3/29/1991,9.45
4/30/1991,9.33
5/31/1991,9.31
6/28/1991,9.49
7/31/1991,9.28
8/30/1991,9
9/30/1991,8.67
10/31/1991,8.54
11/29/1991,8.56
12/31/1991,7.9
1/31/1992,8.6
2/28/1992,8.51
3/31/1992,8.8
4/30/1992,8.66
5/29/1992,8.4
6/30/1992,8.19
7/31/1992,7.86
8/31/1992,7.7
9/30/1992,7.62
10/30/1992,8.12
11/30/1992,8.2
12/31/1992,7.97
1/29/1993,7.59
2/26/1993,7.28
3/31/1993,7.22
4/30/1993,7.21
5/31/1993,7.26
6/30/1993,6.96
7/30/1993,6.96
8/31/1993,6.65
9/30/1993,6.7
10/29/1993,6.69
11/30/1993,7.03
12/31/1993,7
1/31/1994,6.78
2/28/1994,7.32
3/31/1994,8.21
4/29/1994,8.44
5/31/1994,8.53
6/30/1994,8.58
7/29/1994,8.46
8/31/1994,8.48
9/30/1994,8.82
10/31/1994,8.98
11/30/1994,9.26
12/30/1994,9.28
1/31/1995,8.99
2/28/1995,8.57
3/31/1995,8.71
4/28/1995,8.45
5/31/1995,7.8
6/30/1995,7.8
7/31/1995,7.97
8/31/1995,7.87
9/29/1995,7.8
10/31/1995,7.6
11/30/1995,7.41
12/29/1995,7.15
1/31/1996,7.16
2/29/1996,7.6
3/29/1996,7.95
4/30/1996,8.19
5/31/1996,8.29
6/28/1996,8.23
7/31/1996,8.31
8/30/1996,8.28
9/30/1996,8.1
10/31/1996,7.81
11/29/1996,7.57
12/31/1996,7.76
1/31/1997,7.9
2/28/1997,7.93
3/31/1997,8.24
4/30/1997,8.13
5/30/1997,7.98
6/30/1997,7.76
7/31/1997,7.38
8/29/1997,7.64
9/30/1997,7.44
10/31/1997,7.3
11/28/1997,7.28
12/31/1997,7.18
1/30/1998,6.99
2/27/1998,7.12
3/31/1998,7.12
4/30/1998,7.12
5/29/1998,6.98
6/30/1998,6.99
7/31/1998,6.97
8/31/1998,6.77
9/30/1998,6.45
10/30/1998,6.62
11/30/1998,6.68
12/31/1998,6.66
1/29/1999,6.66
2/26/1999,7.03
3/31/1999,6.98
4/30/1999,6.94
5/31/1999,7.35
6/30/1999,7.72
7/30/1999,7.86
8/31/1999,8
9/30/1999,7.82
10/29/1999,7.82
11/30/1999,7.93
12/31/1999,8.08
1/31/2000,8.41
2/29/2000,8.32
3/31/2000,8.32
4/28/2000,8.44
5/31/2000,8.62
6/30/2000,8.23
7/31/2000,8.28
8/31/2000,8.12
9/29/2000,7.9
10/31/2000,7.9
11/30/2000,7.65
12/29/2000,7.31
1/31/2001,7.11
2/28/2001,7.04
3/30/2001,6.99
4/30/2001,7.18
5/31/2001,7.17
6/29/2001,7.24
7/31/2001,6.92
8/31/2001,6.81
9/28/2001,6.42
10/31/2001,6.24
11/30/2001,6.69
12/31/2001,6.94
1/31/2002,6.75
2/28/2002,6.51
3/29/2002,6.95
4/30/2002,6.63
5/31/2002,6.52
6/28/2002,6.48
7/31/2002,6.31
8/30/2002,5.85
9/30/2002,5.67
10/31/2002,5.68
11/29/2002,5.82
12/31/2002,5.47
1/31/2003,5.56
2/28/2003,5.39
3/31/2003,5.38
4/30/2003,5.32
5/30/2003,4.75
6/30/2003,5
7/31/2003,5.91
8/29/2003,5.91
9/30/2003,5.46
10/31/2003,5.69
11/28/2003,5.65
12/31/2003,5.56
1/30/2004,5.54
2/27/2004,5.31
3/31/2004,5.29
4/30/2004,5.91
5/31/2004,6
6/30/2004,6.01
7/30/2004,5.87
8/31/2004,5.55
9/30/2004,5.51
10/29/2004,5.46
11/30/2004,5.59
12/31/2004,5.53
1/31/2005,5.45
2/28/2005,5.56
3/31/2005,5.88
4/29/2005,5.6
5/31/2005,5.46
6/30/2005,5.41
7/29/2005,5.63
8/31/2005,5.61
9/30/2005,5.83
10/31/2005,6.13
11/30/2005,6.15
12/30/2005,6.06
1/31/2006,6.09
2/28/2006,6.1
3/31/2006,6.35
4/28/2006,6.45
5/31/2006,6.573
6/30/2006,6.75
7/31/2006,6.52
8/31/2006,6.32
9/29/2006,6.168
10/31/2006,6.21
11/30/2006,6.03
12/29/2006,6.138
1/31/2007,6.299
2/28/2007,6.07
3/30/2007,6.118
4/30/2007,6.146
5/31/2007,6.366
6/29/2007,6.607
7/31/2007,6.598
8/31/2007,6.375
9/28/2007,6.248
10/31/2007,6.074
11/30/2007,5.832
12/31/2007,5.921
1/31/2008,5.408
2/29/2008,5.728
3/31/2008,5.587
4/30/2008,5.795
5/30/2008,6.017
6/30/2008,6.157
7/31/2008,6.28
8/29/2008,6.053
9/30/2008,5.77
10/31/2008,6.301
11/28/2008,5.091
12/31/2008,4.283
1/30/2009,4.724
2/27/2009,4.759
